"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.934886083E0,5.523364105E0,-6.155050507E0,4.058061218E-1,8.279907994E0
1.944951083E0,5.779032440E0,-7.573650513E0,9.349557495E-1,9.572436486E0
1.955016083E0,6.695726166E0,-7.888894958E0,3.432362366E-1,1.035302969E1
1.965081083E0,7.706873474E0,-6.671027527E0,-8.783734131E-1,1.023083803E1
1.975147083E0,8.540639648E0,-7.109316101E0,-3.588038635E-1,1.111816717E1
1.985212083E0,7.980654144E0,-8.721763000E0,-1.108444977E0,1.187386376E1
1.995277083E0,9.727371826E0,-5.684129791E0,-9.879455566E-3,1.126637438E1
2.005342083E0,1.014874557E1,-3.494183807E0,1.607207794E0,1.085308593E1
2.015407083E0,9.104966125E0,-4.455484772E0,2.372416534E0,1.041057697E1
2.025472083E0,7.552843781E0,-7.713160400E0,2.832409973E0,1.116068272E1
2.035537083E0,7.379803619E0,-9.658065948E0,3.149899750E0,1.255633735E1
2.045602083E0,7.259304199E0,-1.120135666E1,4.720583496E0,1.415810005E1
2.055667083E0,6.046825562E0,-1.243778549E1,2.097737732E0,1.398796307E1
2.065732083E0,6.224506073E0,-1.048210236E1,-1.113235016E0,1.224165993E1
2.075798083E0,6.867419128E0,-7.750133514E0,-3.673810272E0,1.098739718E1
2.085863083E0,7.559280396E0,-6.607559509E0,-4.491260376E0,1.099881732E1
2.095928083E0,7.538922729E0,-6.280938721E0,-4.213438110E0,1.067888608E1
2.105993083E0,7.111262054E0,-6.181695099E0,-3.959116974E0,1.022047012E1
2.116058083E0,7.852520599E0,-5.944588165E0,-3.567231903E0,1.047498695E1
2.126123083E0,1.066621948E1,-5.590274963E0,-2.567460938E0,1.231305274E1
2.136188083E0,1.312261139E1,-5.917644196E0,-2.363285522E0,1.458789090E1
2.146253083E0,1.590801910E1,-6.814429321E0,-2.384691010E0,1.746963852E1
2.156318083E0,1.771251663E1,-7.807015228E0,-8.701405334E-1,1.937627097E1
2.166383083E0,1.482112930E1,-7.193590851E0,-2.406994629E-1,1.647639400E1
2.176449083E0,1.217433334E1,-6.796616364E0,-5.977070618E-1,1.395584609E1
2.186514083E0,1.051024384E1,-6.967411194E0,-1.365610199E0,1.268364835E1
2.196579083E0,7.260352020E0,-6.551575928E0,-2.477048950E0,1.008819261E1
2.206644083E0,5.165458374E0,-6.335425415E0,-3.150648193E0,8.760488539E0
2.216709083E0,1.343007202E0,-6.218368835E0,-3.711382141E0,7.365197670E0
2.226774083E0,-1.645977173E0,-6.459517365E0,-3.623215485E0,7.586982001E0
2.236839083E0,-1.458117828E0,-6.284082184E0,-2.699336700E0,6.993011877E0
2.246904083E0,4.135899353E-1,-3.791016541E0,-2.123484192E0,4.364865194E0
2.256969083E0,2.745291138E0,-1.050964508E0,-3.094065857E-1,2.955821758E0
2.267035083E0,5.292095032E0,-4.092489624E-1,1.084943848E0,5.417643186E0
2.277100083E0,6.949448547E0,-3.305126953E-1,5.766009521E-1,6.981156237E0
2.287165083E0,8.885372772E0,-1.480870514E0,-8.000862122E-1,9.043393430E0
2.297230083E0,1.077414505E1,-3.065774689E0,-2.217788086E0,1.141927143E1
2.307295083E0,1.142693756E1,-3.678151245E0,-1.101259918E0,1.205472820E1
2.317360083E0,1.214783844E1,-2.184706879E0,3.140469360E-1,1.234672217E1
2.327425083E0,1.270767426E1,3.065625000E-1,-8.217910767E-1,1.273790823E1
2.337490083E0,1.109447891E1,1.786834259E0,-3.824397125E0,1.187039394E1
2.347555083E0,5.578150177E0,1.881587219E0,-7.003486176E0,9.149040850E0
2.357621083E0,-5.867797852E-1,9.096583557E-1,-7.681725769E0,7.757622035E0
2.367686083E0,-1.910926208E0,-5.239105225E-1,-6.070476379E0,6.385671827E0
2.377751083E0,1.329834595E0,-1.340911560E0,-4.418361969E0,4.805041764E0
2.387816083E0,4.281546478E0,-1.033899994E0,-4.642146606E0,6.399227653E0
2.397881083E0,7.955656128E0,-8.499325562E-1,-5.997877350E0,9.999469110E0
2.407946083E0,1.253343658E1,-2.168690186E0,-7.168592834E0,1.460064974E1
2.418011083E0,1.632086060E1,-4.465214539E0,-4.976850586E0,1.763739417E1
2.428076083E0,1.789663376E1,-5.057532806E0,7.783813477E-3,1.859753206E1
2.438141083E0,1.594843506E1,-4.317322083E0,8.265811157E-1,1.654312809E1
2.448206083E0,1.078252762E1,-3.755989380E0,-2.861150208E0,1.177100414E1
2.458272083E0,4.656217346E0,-3.184178467E0,-4.705614624E0,7.345894192E0
2.468337083E0,8.128097534E-2,-3.090024261E0,-4.551285553E0,5.501732156E0
2.478402083E0,-1.954934692E-1,-3.123255157E0,-4.574786682E0,5.542708152E0
2.488467083E0,2.297272797E0,-5.481750641E0,-2.946921844E0,6.634108889E0
2.498532083E0,6.745722198E0,-9.550140381E0,1.423689423E0,1.177866040E1
2.508597083E0,1.279988251E1,-1.357781479E1,5.734125824E0,1.952112306E1
2.518662083E0,1.728021561E1,-1.577464645E1,8.211025085E0,2.479649683E1
2.528727083E0,1.826097610E1,-1.584919144E1,6.557114410E0,2.505306103E1
2.538792083E0,1.659000092E1,-1.449555634E1,8.316705322E-1,2.204633665E1
2.548857083E0,1.421578812E1,-1.492112137E1,-5.181774445E0,2.125039484E1
2.558923083E0,1.026714935E1,-1.294403275E1,-9.805808716E0,1.921239767E1
2.568988083E0,5.148244171E0,-9.179511108E0,-1.171628586E1,1.574926019E1
2.579053083E0,2.225272522E0,-5.914800110E0,-1.277278885E1,1.425064325E1
2.589118083E0,8.147557068E-1,-5.712870026E0,-1.149444717E1,1.286168833E1
2.599183083E0,1.627266083E0,-6.127507782E0,-7.920628967E0,1.014547731E1
2.609248083E0,2.822680206E0,-6.051016846E0,-4.234244843E0,7.906399800E0
2.619313083E0,3.159629517E0,-6.229745178E0,-1.216969299E-1,6.986257497E0
2.629378083E0,3.006947021E0,-6.482120361E0,8.057743835E-1,7.190889175E0
2.639443083E0,3.005599823E0,-6.124364319E0,7.749385071E-1,6.866003080E0
2.649509083E0,3.457959137E0,-5.233566742E0,1.423240356E0,6.432209212E0
2.659574083E0,4.175267487E0,-4.473597107E0,1.383273468E0,6.273705057E0
2.669639083E0,4.689747620E0,-3.428320770E0,6.971003723E-1,5.850902919E0
2.679704083E0,4.010609894E0,-2.940335541E0,9.654922485E-2,4.973920643E0
2.689769083E0,3.190315704E0,-3.099754028E0,4.778063965E-1,4.473800206E0
2.699834083E0,2.330503693E0,-3.407514038E0,1.263223114E0,4.317190292E0
2.709899083E0,2.073937225E0,-3.778891754E0,1.839674377E0,4.686751574E0
2.719964083E0,2.377955017E0,-4.262236633E0,2.569855957E0,5.515930640E0
2.730029083E0,2.907553711E0,-4.993915100E0,3.182681580E0,6.597159892E0
2.740094083E0,3.906127167E0,-5.784271545E0,3.080893250E0,7.629385950E0
2.750160083E0,5.180876312E0,-6.217021637E0,2.373464355E0,8.433633288E0
2.760225083E0,5.601501617E0,-6.230493622E0,1.606758728E0,8.530975604E0
2.770290083E0,5.265600128E0,-6.134243774E0,1.120869141E0,8.161607625E0
2.780355083E0,4.596042480E0,-6.064937897E0,7.081773376E-1,7.642551492E0
2.790420083E0,3.991599426E0,-5.812712402E0,1.303788757E-1,7.052481131E0
2.800485083E0,3.587739258E0,-5.378914490E0,-5.673202515E-2,6.465896117E0
2.810550083E0,3.046464844E0,-5.052593079E0,1.064286804E-1,5.900929751E0
2.820615083E0,2.695744171E0,-4.985233154E0,4.505630493E-2,5.667593520E0
2.830680083E0,2.255509644E0,-4.932692413E0,-1.263372803E-1,5.425379185E0
2.840746083E0,1.608854370E0,-5.406906281E0,-1.725910950E-1,5.643831641E0
2.850810250E0,7.903564453E-2,-7.770042114E0,1.761836243E-1,7.772441171E0
2.860875250E0,1.335223389E-1,-8.073161774E0,2.653981018E-1,8.078626455E0
2.870940250E0,1.343306580E0,-4.551584930E0,-1.454974365E-1,4.747901373E0
2.881005250E0,8.207432556E-1,-3.825145569E0,6.982978821E-1,3.974038003E0
2.891070250E0,9.725276184E-1,-3.419339447E0,1.482217712E0,3.851579101E0
2.901135250E0,1.509461060E0,-4.023632812E0,1.365909576E0,4.509301794E0
2.911200250E0,1.347797241E0,-4.023932190E0,1.013392639E0,4.362975168E0
2.921265250E0,3.990701294E-1,-3.353775787E0,1.222208405E0,3.591777051E0
2.931330250E0,3.799099731E-1,-4.357887726E0,1.294358368E0,4.561894409E0
2.941396250E0,1.600172424E-1,-5.381459198E0,1.023870850E0,5.480330294E0
2.951461250E0,6.608757019E-1,-1.087189178E1,2.356998596E0,1.114406703E1
2.961526250E0,-8.391549683E-1,-1.834165833E1,1.874402161E0,1.845627250E1
2.971591250E0,-3.884422302E0,-2.233849686E1,3.896397400E-1,2.267705884E1
2.981656250E0,-2.953657837E0,-2.825374603E1,-1.892065430E-1,2.840834488E1
2.991721250E0,-1.788780212E0,-3.145289337E1,1.806892548E0,3.155549234E1
3.001786250E0,-1.501078491E0,-3.267165894E1,6.573131104E0,3.336010472E1
3.011851250E0,-2.481689301E0,-3.077600098E1,9.979747009E0,3.244867283E1
3.021916250E0,-4.239184570E0,-2.551519089E1,9.593849487E0,2.758690994E1
3.031981250E0,-3.671415253E0,-1.899175644E1,6.026168518E0,2.026032600E1
3.042047250E0,-1.647474060E0,-1.396550858E1,3.371139679E0,1.446078087E1
3.052112250E0,-3.083587646E-1,-1.122545654E1,2.041454773E0,1.141374160E1
3.062177250E0,9.139993286E-1,-1.015727783E1,6.514453125E-1,1.021910313E1
3.072242250E0,2.221230927E0,-1.042312500E1,-5.219196625E0,1.186656711E1
3.082307250E0,2.687062225E0,-1.265393600E1,-8.262368317E0,1.534956449E1
3.092372250E0,1.411714325E0,-1.396206573E1,-5.495821381E0,1.507104076E1
3.102437250E0,1.782792664E-1,-1.432356400E1,-3.508104858E0,1.474798524E1
3.112502250E0,-8.608598328E-1,-1.427910645E1,-3.868555298E0,1.481889607E1
3.122567250E0,-1.460961914E0,-1.409019928E1,-6.849007416E0,1.573458064E1
3.132632250E0,-2.221530304E0,-1.447534836E1,-9.712253265E0,1.757267113E1
3.142698250E0,-4.005819855E0,-1.470062988E1,-8.100554810E0,1.725613224E1
3.152763250E0,-5.368436279E0,-1.397344208E1,-3.589385834E0,1.539353378E1
3.162828250E0,-6.018235016E0,-1.301932617E1,2.613565063E-1,1.434539347E1
3.172893250E0,-6.034551086E0,-1.244452148E1,2.845432892E0,1.412014200E1
3.182958250E0,-5.962700500E0,-1.222208405E1,4.390669556E0,1.429024544E1
3.193023250E0,-6.368356934E0,-1.205563019E1,5.508544922E0,1.470504187E1
3.203088250E0,-6.823859711E0,-1.182930084E1,6.123615875E0,1.496649896E1
3.213153250E0,-7.081473999E0,-1.162332916E1,6.462211761E0,1.506682567E1
3.223218250E0,-6.899003448E0,-1.125135269E1,6.571933594E0,1.474379521E1
3.233283250E0,-5.857020264E0,-1.030412247E1,6.069578247E0,1.331613331E1
3.243349250E0,-4.888833618E0,-9.022637329E0,4.923411713E0,1.138194454E1
