"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.174029500E0,4.603676605E0,-6.495891724E0,8.285270691E-1,8.004805099E0
3.184095750E0,4.460424500E0,-6.577322388E0,7.604187012E-1,7.983407362E0
3.194161750E0,4.396208038E0,-6.626719666E0,7.653584290E-1,7.989107094E0
3.204226750E0,4.547992401E0,-6.632557526E0,7.725434875E-1,8.079101290E0
3.214292750E0,4.934338989E0,-6.573131104E0,7.696994019E-1,8.255070620E0
3.224358750E0,5.503605194E0,-6.627468109E0,7.934999084E-1,8.651164417E0
3.234424750E0,6.225104828E0,-6.852899323E0,5.896238708E-1,9.276950768E0
3.244489750E0,7.105723572E0,-7.229965210E0,3.125500488E-1,1.014206054E1
3.254555750E0,7.723488922E0,-7.583529968E0,1.362167358E-1,1.082500637E1
3.264621750E0,7.890840912E0,-7.730075226E0,-7.244934082E-2,1.104647827E1
3.274686750E0,7.806266785E0,-7.767497406E0,-3.996688843E-1,1.101959855E1
