"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.778000797E2,-1.098745148E1,-8.062982941E0,-2.663561096E0,1.388633651E1
1.778101457E2,-1.066696793E1,-8.433911591E0,-2.816542969E0,1.388697173E1
1.778202117E2,-1.047207321E1,-8.804241486E0,-2.779270477E0,1.396077827E1
1.778302787E2,-1.033435959E1,-9.160201263E0,-2.536475372E0,1.404072586E1
1.778403447E2,-1.005953110E1,-9.348509674E0,-2.098785553E0,1.389221724E1
1.778504117E2,-9.702074432E0,-9.336384888E0,-1.496438141E0,1.354760710E1
1.778604777E2,-9.414522400E0,-9.191486206E0,-9.629475403E-1,1.319257059E1
1.778705437E2,-9.168134766E0,-9.082213440E0,-6.384223938E-1,1.292086991E1
1.778806107E2,-8.892557831E0,-8.907975769E0,-3.927832031E-1,1.259300980E1
1.778906767E2,-8.561596069E0,-8.631650391E0,-2.570155334E-1,1.216027848E1
1.779007427E2,-8.216114502E0,-8.316855011E0,-3.103047180E-1,1.169490931E1
1.779108097E2,-7.807913361E0,-7.982151031E0,-5.312452698E-1,1.117857181E1
1.779208757E2,-7.404202881E0,-7.616760864E0,-8.891510010E-1,1.065963676E1
1.779309417E2,-7.075935516E0,-7.306905212E0,-1.229692841E0,1.024557815E1
1.779410087E2,-6.771169281E0,-6.954987030E0,-1.537003784E0,9.827662929E0
1.779510747E2,-6.538403320E0,-6.628066864E0,-1.806144104E0,9.483888699E0
1.779611407E2,-6.463708649E0,-6.391408997E0,-2.027683411E0,9.313492281E0
1.779712077E2,-6.410868530E0,-6.249953156E0,-2.133663025E0,9.204002807E0
1.779812737E2,-6.264173584E0,-6.100713501E0,-2.141895905E0,9.002571520E0
1.779913397E2,-6.170618134E0,-5.999823303E0,-2.036964111E0,8.844412395E0
1.780014067E2,-6.099665680E0,-6.065386963E0,-1.856738892E0,8.800131802E0
1.780114727E2,-5.971831512E0,-6.159541168E0,-1.688488770E0,8.743781410E0
1.780215387E2,-5.789061584E0,-6.253695374E0,-1.510209503E0,8.654633013E0
1.780316057E2,-5.557942200E0,-6.387367401E0,-1.295555878E0,8.565491746E0
1.780416717E2,-5.349874878E0,-6.524182892E0,-1.067729645E0,8.504479420E0
1.780517377E2,-5.178930359E0,-6.552324371E0,-8.270301819E-1,8.392750041E0
1.780618047E2,-5.301375732E0,-6.876400452E0,-7.120692444E-1,8.711860332E0
1.780718707E2,-5.314997406E0,-6.946454773E0,-4.888833618E-1,8.760219077E0
1.780819367E2,-5.512287140E0,-7.039561157E0,-3.673361206E-1,8.948500803E0
1.780920037E2,-5.880072327E0,-7.355104980E0,-5.060975647E-1,9.430214981E0
1.781020697E2,-6.215225372E0,-7.683372345E0,-8.213420105E-1,9.916543739E0
1.781121367E2,-6.514004059E0,-7.936196594E0,-1.196312256E0,1.033666427E1
1.781222027E2,-6.658004608E0,-8.316106567E0,-1.637444916E0,1.077812041E1
1.781322687E2,-6.576873322E0,-8.622818756E0,-1.973496094E0,1.102283778E1
1.781423357E2,-6.209986267E0,-8.790919189E0,-2.127226410E0,1.097129354E1
1.781524017E2,-5.907615051E0,-8.851543121E0,-2.141746216E0,1.085526638E1
1.781624677E2,-5.749543762E0,-8.876391449E0,-2.158960419E0,1.079391906E1
1.781725347E2,-5.810317383E0,-8.811576233E0,-2.089953918E0,1.075971985E1
1.781826007E2,-6.245312805E0,-8.925189972E0,-2.205064545E0,1.111419173E1
1.781926667E2,-6.928791504E0,-9.287286987E0,-2.527344360E0,1.185956664E1
1.782027337E2,-7.585625610E0,-9.764943695E0,-2.900368652E0,1.270070784E1
1.782127997E2,-7.675139465E0,-9.974807281E0,-3.081791382E0,1.295769980E1
1.782228657E2,-7.522307281E0,-1.011207184E1,-3.160976715E0,1.299349366E1
1.782329327E2,-7.282206573E0,-1.023511597E1,-3.099304962E0,1.293807647E1
1.782429987E2,-7.105274506E0,-1.034648438E1,-2.925666046E0,1.288775335E1
1.782530647E2,-6.890770569E0,-1.026460464E1,-2.482437744E0,1.260981065E1
1.782631317E2,-6.603667603E0,-9.849368134E0,-1.706900482E0,1.198048362E1
1.782731977E2,-6.697372742E0,-9.376800842E0,-9.074130249E-1,1.155865884E1
1.782832637E2,-7.146289215E0,-8.744964752E0,-3.203338623E-1,1.129807381E1
1.782933307E2,-7.818092194E0,-8.118517456E0,-1.109193420E-1,1.127143267E1
1.783033967E2,-8.533903656E0,-7.584877167E0,-2.972817993E-1,1.142130683E1
1.783134627E2,-9.096433868E0,-7.094796295E0,-8.354127502E-1,1.156629405E1
1.783235297E2,-9.502539368E0,-6.714437256E0,-1.698966980E0,1.175875890E1
1.783335957E2,-9.662257233E0,-6.398893433E0,-2.722688141E0,1.190454042E1
1.783436617E2,-9.521100769E0,-6.084098053E0,-3.705544281E0,1.189111716E1
1.783537287E2,-9.191635895E0,-5.816753998E0,-4.603227539E0,1.181145636E1
1.783637947E2,-8.889564056E0,-5.646108856E0,-5.344037018E0,1.180938720E1
1.783738617E2,-8.405171356E0,-5.386249237E0,-5.865702209E0,1.157864624E1
1.783839277E2,-7.957003326E0,-5.159919891E0,-6.169420624E0,1.131372733E1
1.783939937E2,-7.651039581E0,-5.044809265E0,-6.241271210E0,1.108792016E1
1.784040607E2,-7.436984711E0,-4.982389069E0,-6.046077118E0,1.080222157E1
1.784141267E2,-7.357200623E0,-4.968617706E0,-5.380411377E0,1.038096284E1
1.784241927E2,-7.276967468E0,-5.021607513E0,-4.343218231E0,9.850601106E0
1.784342597E2,-7.284302216E0,-5.140160980E0,-3.269650726E0,9.495942794E0
1.784443257E2,-7.237150269E0,-5.222340088E0,-2.254461823E0,9.204986589E0
1.784543917E2,-7.104526062E0,-5.223986664E0,-1.418899384E0,8.931830870E0
1.784644587E2,-6.993756409E0,-5.186115417E0,-8.461903381E-1,8.747826011E0
1.784745247E2,-6.945406952E0,-5.100044403E0,-4.629872131E-1,8.629222897E0
1.784845907E2,-6.933132477E0,-4.978347473E0,-2.951861572E-1,8.540456918E0
1.784946577E2,-6.923103333E0,-4.808750153E0,-3.061134338E-1,8.434876598E0
1.785047237E2,-6.878047028E0,-4.652475128E0,-5.107379150E-1,8.319489705E0
1.785147897E2,-6.849007416E0,-4.549938354E0,-8.728349304E-1,8.268777565E0
1.785248567E2,-6.812183990E0,-4.478387146E0,-1.217118988E0,8.242765360E0
1.785349227E2,-6.876400452E0,-4.453089752E0,-1.478325806E0,8.324682498E0
1.785449887E2,-7.030879211E0,-4.503684540E0,-1.643582153E0,8.509864818E0
1.785550557E2,-7.201973419E0,-4.579127655E0,-1.715582428E0,8.705173995E0
1.785651217E2,-7.418123932E0,-4.725373535E0,-1.722617798E0,8.962428789E0
1.785751877E2,-7.618108063E0,-4.822072449E0,-1.625170441E0,9.161284414E0
1.785852547E2,-7.770491180E0,-4.859195251E0,-1.451681213E0,9.278991865E0
1.785953207E2,-7.877817993E0,-4.858895874E0,-1.301244049E0,9.346770647E0
1.786053867E2,-8.044571228E0,-4.759801941E0,-1.277293854E0,9.434104109E0
1.786154537E2,-8.294850769E0,-4.616250458E0,-1.374591522E0,9.591862146E0
1.786255197E2,-8.492290192E0,-4.443359985E0,-1.467398529E0,9.696169300E0
1.786355862E2,-8.758586426E0,-4.262985077E0,-1.522783356E0,9.859246781E0
1.786456522E2,-9.144633636E0,-4.168381805E0,-1.677711182E0,1.018893743E1
1.786557182E2,-9.553732910E0,-4.104315033E0,-1.874252472E0,1.056560631E1
1.786657852E2,-9.947713623E0,-4.132456512E0,-2.083517303E0,1.097156541E1
1.786758512E2,-1.030546967E1,-4.152963867E0,-2.227667542E0,1.133191584E1
1.786859172E2,-1.061008621E1,-4.256099396E0,-2.390528870E0,1.167916691E1
1.786959842E2,-1.079046112E1,-4.310286713E0,-2.486928406E0,1.188265272E1
